Field1_text,Field1_links,Textbox_value,Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9,Text10
合租·北京像素南区3居室-北卧,https://www.ziroom.com/x/754812663.html,2500,10.2㎡,朝北,3室1厅,6/16,有,北京像素南区,2012,塔板结合,集体供暖,30%,3.32
,,2500,,,,,,,,,,,
合租·南平里3居室-东卧,https://www.ziroom.com/x/765933616.html,1900,11.5㎡,朝东,3室1厅,6/6,无,南平里,1998,板楼,集体供暖,30%,1.5
合租·金隅汇景苑3居室-西卧,https://www.ziroom.com/x/808161279.html,1900,约8.7㎡,朝西,3室1厅,19/29,有,金隅汇景苑,2017,塔板结合,集体供暖,30%,2.5
合租·北花园小区2号院4居室-北卧,https://www.ziroom.com/x/774465057.html,2500,11.3㎡,朝北,4室1厅,23/29,有,北花园小区2号院,2013,塔楼,集体供暖,40%,1.5
合租·远洋一方北润园4居室-北卧,https://www.ziroom.com/x/548690643.html,1900,8.6㎡,朝北,4室1厅,15/18,有,远洋一方北润园,2011,塔板结合,独立供暖,30%,0.45
合租·北京像素北区3居室-东卧,https://www.ziroom.com/x/724727628.html,2300,9.8㎡,朝东,3室1厅,5/13,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·金隅汇景苑3居室-北卧,https://www.ziroom.com/x/808161286.html,1700,约6.2㎡,朝北,3室1厅,19/29,有,金隅汇景苑,2017,塔板结合,集体供暖,30%,2.5
合租·泰福苑D3区3居室-北卧,https://www.ziroom.com/x/785227595.html,2500,9.5㎡,朝北,3室1厅,10/18,有,泰福苑D3区,2013,塔板结合,壁挂炉,30%,4.9
燕京里自如寓·燕儿窝,https://www.ziroomapartment.com/houseType/getDetail/2c92a1be79113649017954a8a4b86447.html,1900,66.0㎡,西,1室0厅1卫,1,有,燕京里自如寓,,,,,
合租·常营民族家园4居室-南卧,https://www.ziroom.com/x/783448712.html,2300,9.7㎡,朝南,4室1厅,6/6,无,常营民族家园,2008,板楼,集体供暖,30%,2.21
合租·东柳西里3居室-北卧,https://www.ziroom.com/x/808151570.html,1900,约8㎡,朝北,3室1厅,3/5,无,东柳西里,1992,板楼,集体供暖,30%,3.0
合租·酒仙桥十一街坊3居室-北卧,https://www.ziroom.com/x/783237058.html,1900,约5㎡,朝北,3室1厅,4/5,无,酒仙桥十一街坊,1995,板楼,集体供暖,20%,3.0
合租·定福家园3号院4居室-北卧,https://www.ziroom.com/x/782157836.html,2300,5.97㎡,朝北,4室1厅,9/12,有,定福家园3号院,2007,塔板结合,壁挂炉,30%,2.51
合租·天泰新房苑6居室-南卧,https://www.ziroom.com/x/733163233.html,2500,13.11㎡,朝南,6室1厅,6/7,无,天泰新房苑,2005,板楼,独立供暖,35%,0.2
合租·机场南路东里3居室-南卧,https://www.ziroom.com/x/723838817.html,1800,11.9㎡,朝南,3室1厅,1/5,无,机场南路东里,1993,板楼,集体供暖,30%,1.3
合租·康泉小区3居室-东北卧,https://www.ziroom.com/x/698103803.html,2300,9.8㎡,朝东北,3室1厅,20/28,有,康泉小区,2015,板楼,集体供暖,34%,2.38
,,2300,,,,,,,,,,,
合租·万象新天四区3居室-南卧,https://www.ziroom.com/x/724020013.html,2500,9.1㎡,朝南,3室1厅,15/20,有,万象新天四区,2005,塔板结合,集体供暖,30%,9
合租·北京新天地二期3居室-南卧,https://www.ziroom.com/x/626059586.html,2300,10.17㎡,朝南,3室1厅,22/28,有,北京新天地二期,2009,塔板结合,集体供暖,35%,3.1
合租·北京新天地三期3居室-东卧,https://www.ziroom.com/x/723814761.html,2500,11.59㎡,朝东,3室1厅,23/28,有,北京新天地三期,2008,塔板结合,集体供暖,30%,3.11
合租·艺水芳园4居室-北卧,https://www.ziroom.com/x/722301173.html,2100,9.26㎡,朝北,4室1厅,3/15,有,艺水芳园,2005,塔板结合,独立供暖,40%,0.2
合租·东柳西里3居室-北卧,https://www.ziroom.com/x/808151563.html,1900,约8㎡,朝北,3室1厅,3/5,无,东柳西里,1992,板楼,集体供暖,30%,3.0
合租·北京像素北区3居室-东南卧,https://www.ziroom.com/x/722376833.html,2100,9.3㎡,朝东南,3室1厅,8/13,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
,,2100,,,,,,,,,,,
合租·沁园4居室-北卧,https://www.ziroom.com/x/759912341.html,2300,9.2㎡,朝北,4室1厅,2/12,有,沁园,2013,板楼,集体供暖,40%,4.1
合租·远洋一方润园2号院4居室-东卧,https://www.ziroom.com/x/747145880.html,1900,约7.86㎡,朝东,4室1厅,15/15,有,远洋一方润园2号院,2011,塔板结合,壁挂炉,30%,0.45
合租·双惠小区3居室-北卧,https://www.ziroom.com/x/721084890.html,2500,10.64㎡,朝北,3室1厅,1/7,无,双惠小区,2008,板楼,集体供暖,30%,1.2
合租·金隅康惠园3号院3居室-南卧,https://www.ziroom.com/x/781951032.html,2100,6.4㎡,朝南,3室1厅,5/22,有,金隅康惠园3号院,2011,塔楼,集体供暖,30%,2.5
合租·中海城香克林4居室-南卧,https://www.ziroom.com/x/732181690.html,2500,8.2㎡,朝南,4室1厅,8/9,有,中海城香克林,2012,板楼,集体供暖,30%,0.2
合租·东一时区3居室-东卧,https://www.ziroom.com/x/716801952.html,2300,11㎡,朝东,3室1厅,22/23,有,东一时区,2006,塔板结合,集体供暖,32%,5.55
合租·建东苑3居室-南卧,https://www.ziroom.com/x/770971408.html,2100,9.4㎡,朝南,3室1厅,5/6,无,建东苑,2001,板楼,壁挂炉,30%,3.2
合租·康营家园二十九区3居室-北卧,https://www.ziroom.com/x/723649085.html,2300,10.8㎡,朝北,3室1厅,6/9,有,康营家园二十九区,2012,塔楼,壁挂炉,35%,0.5
合租·北花园小区1号院3居室-北卧,https://www.ziroom.com/x/753339136.html,2500,9.2㎡,朝北,3室1厅,26/29,有,北花园小区1号院,2017,塔楼,集体供暖,50%,0.4
合租·富力又一城A区5居室-南卧,https://www.ziroom.com/x/587355302.html,2000,9㎡,朝南,5室2厅,22/22,有,富力又一城A区,2009,板楼,集体供暖,35%,2.38
合租·延静里中街3号院3居室-北卧,https://www.ziroom.com/x/787357909.html,2300,6㎡,朝北,3室1厅,1/6,无,延静里中街3号院,2009,板楼,集体供暖,30%,2.9
合租·远洋一方润园6号院3居室-东卧,https://www.ziroom.com/x/762868513.html,2100,12.02㎡,朝东,3室1厅,1/15,有,远洋一方润园6号院,2011,板楼,集体供暖,30%,0.3
合租·沁园4居室-北卧,https://www.ziroom.com/x/623559110.html,2500,9.8㎡,朝北,4室1厅,9/12,有,沁园,2013,板楼,集体供暖,40%,4.1
合租·康泉小区3居室-北卧,https://www.ziroom.com/x/777989746.html,2000,9.1㎡,朝北,3室1厅,21/28,有,康泉小区,2015,塔板结合,集体供暖,34%,2.38
合租·柏林爱乐一期4居室-北卧,https://www.ziroom.com/x/796741980.html,2100,8.2㎡,朝北,4室1厅,12/13,有,柏林爱乐一期,2008,板楼,集体供暖,30%,2.2
合租·美然动力A3区3居室-北卧,https://www.ziroom.com/x/644335593.html,2500,9.75㎡,朝北,3室1厅,4/6,无,美然动力A3区,2002,板楼,集体供暖,30%,0.2
合租·金隅康惠园2号院3居室-北卧,https://www.ziroom.com/x/645382443.html,2000,7.9㎡,朝北,3室1厅,5/22,有,金隅康惠园2号院,2012,塔楼,集体供暖,30%,2.5
合租·管庄西里2居室-南卧,https://www.ziroom.com/x/786503436.html,2300,7.8㎡,朝南,2室1厅,1/6,无,管庄西里,1976,板楼,集体供暖,30%,3.2
合租·华威北里3居室-北卧,https://www.ziroom.com/x/786446206.html,2500,7.84㎡,朝北,3室1厅,12/12,有,华威北里,1993,塔板结合,集体供暖,30%,3.5
合租·远洋一方北润园3居室-东卧,https://www.ziroom.com/x/710595989.html,2100,8.2㎡,朝东,3室1厅,14/18,有,远洋一方北润园,2011,塔板结合,独立供暖,30%,0.45
合租·管庄西里3居室-北卧,https://www.ziroom.com/x/793094489.html,2000,7.45㎡,朝北,3室1厅,6/6,无,管庄西里,1976,板楼,集体供暖,30%,3.2
合租·金隅汇景苑3居室-南卧,https://www.ziroom.com/x/717900574.html,2300,10.47㎡,朝南,3室1厅,15/29,有,金隅汇景苑,2017,塔板结合,独立供暖,30%,2.5
合租·东平里3居室-南卧,https://www.ziroom.com/x/657430191.html,2000,8.8㎡,朝南,3室1厅,2/6,无,东平里,1995,板楼,集体供暖,30%,1.5
合租·世纪东方城4居室-北卧,https://www.ziroom.com/x/650791168.html,2500,9.1㎡,朝北,4室1厅,5/21,有,世纪东方城,2006,塔楼,集体供暖,34%,1.9
合租·鸿博家园F区二期3居室-南卧,https://www.ziroom.com/x/746106331.html,2300,11.6㎡,朝南,3室1厅,21/28,有,鸿博家园F区二期,2016,板楼,独立供暖,30%,2.0
合租·垡头西里3居室-北卧,https://www.ziroom.com/x/808129849.html,1800,约7.38㎡,朝北,3室1厅,3/5,无,垡头西里,1982,板楼,集体供暖,30%,2.4
合租·双合家园3居室-北卧,https://www.ziroom.com/x/807930895.html,2000,7.4㎡,朝北,3室1厅,22/22,有,双合家园,2018,板楼,集体供暖,30%,2.57
合租·京铁潞园3居室-南卧,https://www.ziroom.com/x/807283521.html,2300,10.56㎡,朝南,3室1厅,21/28,有,京铁潞园,2019,板楼,集体供暖,,
合租·松榆西里3居室-北卧,https://www.ziroom.com/x/729953018.html,2500,8.18㎡,朝北,3室1厅,4/6,无,松榆西里,1985,板楼,集体供暖,35%,2.1
合租·福怡苑3居室-南卧,https://www.ziroom.com/x/642602807.html,2000,9.74㎡,朝南,3室1厅,3/7,无,福怡苑,2003,板楼,独立供暖,30%,0.3
合租·东平里3居室-北卧,https://www.ziroom.com/x/648648615.html,1500,约9㎡,朝北,3室1厅,1/6,无,东平里,1995,板楼,集体供暖,30%,1.5
合租·八里庄东里北巷3居室-北卧,https://www.ziroom.com/x/770848897.html,2500,8.82㎡,朝北,3室1厅,1/5,无,八里庄东里北巷,1981,板楼,集体供暖,30%,2
合租·管庄新村3居室-南卧,https://www.ziroom.com/x/807803635.html,2300,10.1㎡,朝南,3室1厅,11/18,有,管庄新村,2011,塔板结合,独立供暖,20%,4.5
合租·优点社区3居室-西卧,https://www.ziroom.com/x/792857712.html,2100,9.4㎡,朝西,3室1厅,6/6,无,优点社区,2007,板楼,独立供暖,20%,1.9
合租·朝阳新城四区4居室-北卧,https://www.ziroom.com/x/738887009.html,2000,8.5㎡,朝北,4室1厅,4/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·远洋一方润园6号院3居室-南卧,https://www.ziroom.com/x/778704345.html,2300,10.2㎡,朝南,3室1厅,11/18,有,远洋一方润园6号院,2011,塔板结合,集体供暖,30%,0.3
合租·福怡苑4居室-南卧,https://www.ziroom.com/x/617877207.html,2000,8.7㎡,朝南,4室1厅,6/7,无,福怡苑,2003,板楼,独立供暖,30%,0.3
合租·瑞和国际4居室-北卧,https://www.ziroom.com/x/709945216.html,2500,8.9㎡,朝北,4室1厅,12/22,有,瑞和国际,2010,塔楼,集体供暖,30%,0.3
合租·南太平庄北巷3居室-北卧,https://www.ziroom.com/x/686803805.html,2000,7.7㎡,朝北,3室1厅,6/6,无,南太平庄北巷,2004,板楼,集体供暖,25%,3.1
合租·北京新天地五期4居室-北卧,https://www.ziroom.com/x/718745347.html,2300,10.72㎡,朝北,4室1厅,21/27,有,北京新天地五期,2010,塔板结合,集体供暖,35%,3.11
合租·国美第一城3号院3居室-北卧,https://www.ziroom.com/x/763129637.html,2500,6.8㎡,朝北,3室1厅,22/27,有,国美第一城3号院,2008,塔板结合,集体供暖,35%,3
合租·烟厂宿舍3居室-南卧,https://www.ziroom.com/x/718368211.html,2700,16.6㎡,朝南,3室1厅,6/6,无,烟厂宿舍,1992,板楼,集体供暖,25%,3.2
合租·朝阳旺角4居室-北卧,https://www.ziroom.com/x/723013735.html,2300,10.5㎡,朝北,4室1厅,14/16,有,朝阳旺角,2006,板楼,集体供暖,30%,2.8
合租·北京像素北区3居室-北卧,https://www.ziroom.com/x/654200908.html,2500,10.3㎡,朝北,3室1厅,11/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·连心园西区3居室-南卧,https://www.ziroom.com/x/713475628.html,2700,14.55㎡,朝南,3室1厅,3/6,无,连心园西区,2006,板楼,集体供暖,30%,3.6
合租·金隅康惠园3号院3居室-西卧,https://www.ziroom.com/x/807829045.html,2500,10.6㎡,朝西,3室1厅,16/22,有,金隅康惠园3号院,2011,塔楼,集体供暖,30%,2.5
合租·松榆西里5居室-北卧,https://www.ziroom.com/x/785817937.html,2100,6.2㎡,朝北,5室1厅,6/6,无,松榆西里,1985,板楼,集体供暖,35%,2.1
合租·国美第一城2号院4居室-东卧,https://www.ziroom.com/x/723774409.html,2500,6.5㎡,朝东,4室1厅,3/27,有,国美第一城2号院,2006,塔板结合,集体供暖,35%,3
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/721504706.html,2100,8.7㎡,朝南,3室1厅,13/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·远洋一方润园6号院3居室-北卧,https://www.ziroom.com/x/807189686.html,2100,9.1㎡,朝北,3室1厅,5/14,有,远洋一方润园6号院,2011,塔板结合,集体供暖,30%,0.3
合租·华龙美树3居室-南卧,https://www.ziroom.com/x/711421653.html,2900,14㎡,朝南,3室1厅,3/19,有,华龙美树,2004,板楼,壁挂炉,33%,2.4
合租·艺水芳园3居室-北卧,https://www.ziroom.com/x/743795306.html,2300,9.2㎡,朝北,3室1厅,5/15,有,艺水芳园,2005,塔板结合,独立供暖,40%,0.2
合租·朝丰家园2居室-南卧,https://www.ziroom.com/x/716216363.html,2100,11.36㎡,朝南,2室1厅,5/16,有,朝丰家园,2011,板楼,独立供暖,30%,2.5
合租·双惠小区3居室-南卧,https://www.ziroom.com/x/729878134.html,2900,13.8㎡,朝南,3室1厅,4/6,无,双惠小区,2008,板楼,独立供暖,30%,1.2
合租·康营家园十七区3居室-北卧,https://www.ziroom.com/x/737802064.html,2300,11.2㎡,朝北,3室1厅,2/11,有,康营家园十七区,2012,板楼,壁挂炉,35%,0.5
合租·远洋一方润园2号院4居室-南卧,https://www.ziroom.com/x/724228854.html,2500,17.5㎡,朝南,4室1厅,4/6,无,远洋一方润园2号院,2011,板楼,独立供暖,30%,0.45
合租·潘家园小区4居室-北卧,https://www.ziroom.com/x/760343700.html,2300,9.3㎡,朝北,4室1厅,2/21,有,潘家园小区,1987,塔楼,集体供暖,30%,2.6
合租·万象新天天际高尔夫3居室-南卧,https://www.ziroom.com/x/787597596.html,2900,15.4㎡,朝南,3室1厅,1/17,有,万象新天天际高尔夫,2008,板楼,集体供暖,31%,1.4
合租·保利嘉园一号院3居室-西卧,https://www.ziroom.com/x/721748467.html,2100,8.5㎡,朝西,3室1厅,24/26,有,保利嘉园一号院,2010,塔楼,壁挂炉,35%,2.47
合租·鸿博家园F区二期3居室-南卧,https://www.ziroom.com/x/748200561.html,2300,11.5㎡,朝南,3室1厅,22/28,有,鸿博家园F区二期,2016,板楼,独立供暖,30%,2.0
合租·朝阳新城四区3居室-北卧,https://www.ziroom.com/x/732992610.html,2100,8.5㎡,朝北,3室1厅,15/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·北京像素北区3居室-西南卧,https://www.ziroom.com/x/714702193.html,2300,10.5㎡,朝西南,3室1厅,12/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·康营家园B区3居室-北卧,https://www.ziroom.com/x/786168592.html,2100,11㎡,朝北,3室1厅,4/6,无,康营家园B区,2012,板楼,壁挂炉,35%,0.5
合租·富力阳光美园3居室-南卧,https://www.ziroom.com/x/720112853.html,2900,11.7㎡,朝南,3室1厅,8/22,有,富力阳光美园,2010,板楼,独立供暖,30%,2.49
,,2900,,,,,,,,,,,
合租·北京像素北区3居室-东卧,https://www.ziroom.com/x/759125574.html,2300,11.7㎡,朝东,3室1厅,11/17,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·东一时区4居室-北卧,https://www.ziroom.com/x/720241766.html,2100,10.5㎡,朝北,4室1厅,8/9,有,东一时区,2006,板楼,集体供暖,32%,5.55
合租·东一时区4居室-南卧,https://www.ziroom.com/x/718534760.html,2300,11.22㎡,朝南,4室1厅,2/15,有,东一时区,2006,塔板结合,集体供暖,32%,5.55
合租·潘家园小区3居室-西卧,https://www.ziroom.com/x/808163281.html,2100,约7㎡,朝西,3室1厅,4/6,无,潘家园小区,1987,板楼,集体供暖,30%,2.6
合租·东景苑4居室-西卧,https://www.ziroom.com/x/784494178.html,2900,15.38㎡,朝西,4室1厅,1/21,有,东景苑,1997,塔楼,集体供暖,30%,1.4
合租·保利嘉园三号院3居室-南卧,https://www.ziroom.com/x/773538513.html,2700,12.2㎡,朝南,3室1厅,6/11,有,保利嘉园三号院,2010,板楼,独立供暖,35%,2.47
合租·东一时区4居室-北卧,https://www.ziroom.com/x/745141569.html,2300,10.7㎡,朝北,4室1厅,4/15,有,东一时区,2006,塔板结合,集体供暖,32%,5.55
合租·建东苑3居室-东卧,https://www.ziroom.com/x/807406182.html,2900,14.3㎡,朝东,3室1厅,2/6,无,建东苑,2001,板楼,壁挂炉,30%,3.2
合租·金隅康惠园3号院3居室-南卧,https://www.ziroom.com/x/714665333.html,2700,11.4㎡,朝南,3室1厅,19/20,有,金隅康惠园3号院,2011,塔板结合,集体供暖,30%,2.5
合租·潘家园小区3居室-北卧,https://www.ziroom.com/x/740571414.html,2300,8.5㎡,朝北,3室1厅,6/6,无,潘家园小区,1987,板楼,集体供暖,30%,2.6
,,2700,,,,,,,,,,,
合租·京通苑3居室-南卧,https://www.ziroom.com/x/771836648.html,2700,12.98㎡,朝南,3室1厅,6/6,无,京通苑,2003,板楼,集体供暖,33%,3.4
合租·雅成一里4居室-北卧,https://www.ziroom.com/x/773644049.html,2900,12.3㎡,朝北,4室1厅,8/24,有,雅成一里,1999,塔楼,独立供暖,20%,3
合租·远洋一方北润园3居室-南卧,https://www.ziroom.com/x/556895501.html,2300,11.2㎡,朝南,3室1厅,11/18,有,远洋一方北润园,2011,塔板结合,独立供暖,30%,0.45
合租·常营民族家园3居室-南卧,https://www.ziroom.com/x/745324899.html,2700,13㎡,朝南,3室1厅,4/6,无,常营民族家园,2008,板楼,集体供暖,30%,2.21
合租·福盈家园3居室-南卧,https://www.ziroom.com/x/768301386.html,2700,9.1㎡,朝南,3室1厅,13/20,有,福盈家园,2012,塔板结合,壁挂炉,30%,3.0
合租·美然动力A2区3居室-北卧,https://www.ziroom.com/x/807041146.html,2900,11.8㎡,朝北,3室1厅,4/14,有,美然动力A2区,2003,板楼,集体供暖,30%,0.2
合租·紫南家园5居室-北卧,https://www.ziroom.com/x/715693339.html,2300,10㎡,朝北,5室1厅,6/7,无,紫南家园,2002,板楼,集体供暖,34%,2
合租·北京像素北区3居室-东北卧,https://www.ziroom.com/x/625926985.html,2700,11.6㎡,朝东北,3室1厅,3/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·翠成馨园C区4居室-北卧,https://www.ziroom.com/x/744117928.html,2300,9.8㎡,朝北,4室1厅,2/18,有,翠成馨园C区,2009,板楼,集体供暖,30%,2.5
合租·北辰福第二号院3居室-西卧,https://www.ziroom.com/x/807340172.html,2700,12.7㎡,朝西,3室1厅,3/27,有,北辰福第二号院,2008,塔楼,独立供暖,35%,2.8
合租·团结湖公寓4居室-南卧,https://www.ziroom.com/x/610955036.html,2900,11.2㎡,朝南,4室1厅,14/20,有,团结湖公寓,2000,塔楼,壁挂炉,30%,1.5
合租·富东嘉园3居室-南卧,https://www.ziroom.com/x/772708096.html,2500,10.4㎡,朝南,3室1厅,1/12,有,富东嘉园,2007,板楼,独立供暖,31%,0.2
合租·优点社区4居室-北卧,https://www.ziroom.com/x/759151958.html,2700,17.2㎡,朝北,4室1厅,10/10,有,优点社区,2007,塔板结合,壁挂炉,20%,1.9
合租·松榆西里3居室-南卧,https://www.ziroom.com/x/737394179.html,2900,10㎡,朝南,3室1厅,6/20,有,松榆西里,1985,塔楼,集体供暖,35%,2.1
合租·花园闸小区3居室-南卧,https://www.ziroom.com/x/807182868.html,2700,11.2㎡,朝南,3室1厅,14/18,有,花园闸小区,2004,塔楼,集体供暖,30%,1.4
合租·京棉新城3居室-南卧,https://www.ziroom.com/x/722674914.html,2900,9㎡,朝南,3室1厅,28/28,有,京棉新城,2009,塔楼,集体供暖,35%,2.8
合租·金隅康惠园2号院3居室-北卧,https://www.ziroom.com/x/787994035.html,2700,11.28㎡,朝北,3室1厅,6/20,有,金隅康惠园2号院,2012,塔楼,集体供暖,30%,2.5
合租·燕翔西里3居室-北卧,https://www.ziroom.com/x/753437882.html,1600,8㎡,朝北,3室1厅,3/5,无,燕翔西里,1998,板楼,集体供暖,30%,1.5
合租·华腾园4居室-北卧,https://www.ziroom.com/x/625108448.html,2900,9.06㎡,朝北,4室1厅,22/28,有,华腾园,2003,塔楼,集体供暖,40%,2.1
合租·翠成馨园C区3居室-南卧,https://www.ziroom.com/x/716371563.html,2500,11.8㎡,朝南,3室1厅,14/14,有,翠成馨园C区,2009,板楼,集体供暖,30%,2.5
合租·北京像素北区3居室-东南卧,https://www.ziroom.com/x/713399871.html,2100,9.7㎡,朝东南,3室1厅,9/13,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·定福家园北里1号院3居室-北卧,https://www.ziroom.com/x/778331574.html,2700,9.63㎡,朝北,3室1厅,5/16,有,定福家园北里1号院,2007,塔板结合,壁挂炉,30%,2.3
合租·天泰定福苑3居室-南卧,https://www.ziroom.com/x/625362683.html,2500,11.8㎡,朝南,3室1厅,2/7,无,天泰定福苑,2009,板楼,壁挂炉,25%,1.5
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/779130466.html,2900,16.8㎡,朝南,3室1厅,15/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·苹果派4居室-北卧,https://www.ziroom.com/x/643816156.html,2700,12.3㎡,朝北,4室1厅,9/11,有,苹果派,2007,板楼,集体供暖,38%,1.7
合租·东一时区3居室-南卧,https://www.ziroom.com/x/716802437.html,2500,13.5㎡,朝南,3室1厅,22/23,有,东一时区,2006,塔板结合,集体供暖,32%,5.55
合租·北苑家园望春园4居室-北卧,https://www.ziroom.com/x/722408940.html,2900,10.7㎡,朝北,4室1厅,16/20,有,北苑家园望春园,2009,塔板结合,集体供暖,40%,2
合租·广百西路16号院4居室-北卧,https://www.ziroom.com/x/713106834.html,2700,13.5㎡,朝北,4室1厅,1/15,有,广百西路16号院,2015,塔楼,集体供暖,30%,2.15
合租·弘善家园3居室-南卧,https://www.ziroom.com/x/787808959.html,2500,8㎡,朝南,3室1厅,26/28,有,弘善家园,2012,塔楼,独立供暖,20%,4.4
合租·兴隆家园3居室-东卧,https://www.ziroom.com/x/655102196.html,2900,10.6㎡,朝东,3室1厅,16/24,有,兴隆家园,2002,塔楼,集体供暖,35%,2.8
合租·柏林爱乐三期3居室-南卧,https://www.ziroom.com/x/793228349.html,2700,9.9㎡,朝南,3室1厅,9/11,有,柏林爱乐三期,2008,板楼,集体供暖,30%,2.2
合租·北京像素北区3居室-东南卧,https://www.ziroom.com/x/720725505.html,2100,9.5㎡,朝东南,3室1厅,9/13,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·劲松一区3居室-北卧,https://www.ziroom.com/x/693843622.html,2700,9.8㎡,朝北,3室1厅,3/5,无,劲松一区,1987,板楼,集体供暖,30%,2.2
合租·南新园3居室-西卧,https://www.ziroom.com/x/748340629.html,2900,8.5㎡,朝西,3室1厅,9/24,有,南新园,1994,塔楼,集体供暖,35%,1.45
合租·北京像素北区3居室-东北卧,https://www.ziroom.com/x/718108445.html,2100,8㎡,朝东北,3室1厅,3/17,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·南新园3居室-南卧,https://www.ziroom.com/x/724735097.html,2700,8.6㎡,朝南,3室1厅,12/24,有,南新园,1994,塔楼,集体供暖,35%,1.45
合租·道家园3居室-北卧,https://www.ziroom.com/x/632677672.html,2900,8.5㎡,朝北,3室1厅,9/12,有,道家园,1999,塔板结合,集体供暖,40%,1.8
合租·北辰福第一号院3居室-南卧,https://www.ziroom.com/x/731573112.html,2500,9.8㎡,朝南,3室1厅,22/27,有,北辰福第一号院,2008,板楼,独立供暖,35%,2.8
合租·弘善家园3居室-东卧,https://www.ziroom.com/x/775020673.html,2700,8.1㎡,朝东,3室1厅,12/28,有,弘善家园,2012,塔板结合,壁挂炉,20%,4.4
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/711011343.html,2100,14㎡,朝南,3室1厅,14/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·将府锦苑3居室-北卧,https://www.ziroom.com/x/759590592.html,2900,16.8㎡,朝北,3室1厅,9/28,有,将府锦苑,2018,塔板结合,壁挂炉,45%,0.029
合租·磨房南里3居室-东卧,https://www.ziroom.com/x/747614778.html,2700,8.74㎡,朝东,3室1厅,6/18,有,磨房南里,2004,塔楼,集体供暖,30%,0.2
合租·京铁新苑3居室-南卧,https://www.ziroom.com/x/747101066.html,2500,11.8㎡,朝南,3室1厅,7/12,有,京铁新苑,2018,板楼,集体供暖,15%,3.2
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/782382003.html,2100,8.67㎡,朝南,3室1厅,7/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·双惠小区3居室-北卧,https://www.ziroom.com/x/719904788.html,2300,10.6㎡,朝北,3室1厅,1/6,无,双惠小区,2008,板楼,独立供暖,30%,1.2
合租·梵谷水郡3居室-南卧,https://www.ziroom.com/x/537891170.html,2900,8.6㎡,朝南,3室1厅,14/24,有,梵谷水郡,2008,塔楼,集体供暖,33%,2.6
